Sales_Rep,Date,Region,Customer,Activity_Type,Product
Rep_4,2024-05-25,Spain,Customer_298,Email,Product_6
Rep_13,2025-01-05,Germany,Customer_364,Visit,Product_49
Rep_15,2025-01-23,Italy,Customer_281,Visit,Product_22
Rep_13,2024-08-21,Spain,Customer_315,Visit,Product_29
Rep_10,2024-11-14,France,Customer_16,Phone Call,Product_45
Rep_12,2024-06-08,Germany,Customer_352,Email,Product_33
Rep_4,2024-06-16,Spain,Customer_49,Phone Call,Product_9
Rep_14,2025-01-31,Italy,Customer_402,Email,Product_35
Rep_8,2025-03-03,Spain,Customer_73,Visit,Product_42
Rep_5,2024-07-02,France,Customer_320,Email,Product_41
Rep_5,2025-04-18,Spain,Customer_183,Visit,Product_25
Rep_8,2024-07-10,Italy,Customer_338,Email,Product_38
Rep_9,2025-05-06,Germany,Customer_223,Visit,Product_46
Rep_16,2024-05-28,Germany,Customer_316,Phone Call,Product_38
Rep_20,2025-04-05,France,Customer_377,Visit,Product_40
Rep_18,2024-06-13,Spain,Customer_230,Email,Product_25
Rep_13,2025-04-26,Italy,Customer_489,Visit,Product_29
Rep_4,2025-02-08,France,Customer_131,Phone Call,Product_16
Rep_12,2025-05-06,France,Customer_286,Visit,Product_19
Rep_12,2025-03-31,France,Customer_352,Email,Product_48
Rep_1,2024-12-08,Germany,Customer_128,Email,Product_17
Rep_11,2025-02-02,France,Customer_390,Email,Product_37
Rep_6,2024-10-11,Germany,Customer_303,Visit,Product_16
Rep_1,2025-04-03,France,Customer_369,Visit,Product_46
Rep_9,2025-02-10,France,Customer_22,Email,Product_10
Rep_5,2024-12-02,Germany,Customer_394,Email,Product_11
Rep_1,2024-08-28,Italy,Customer_487,Phone Call,Product_47
Rep_17,2024-12-01,Germany,Customer_95,Phone Call,Product_18
Rep_17,2025-03-24,Germany,Customer_186,Phone Call,Product_11
Rep_2,2024-08-12,Spain,Customer_173,Visit,Product_40
Rep_16,2025-04-07,Spain,Customer_249,Email,Product_26
Rep_3,2024-08-04,Spain,Customer_435,Email,Product_24
Rep_7,2025-04-25,Spain,Customer_34,Phone Call,Product_37
Rep_15,2025-01-31,Germany,Customer_476,Phone Call,Product_20
Rep_19,2024-12-28,France,Customer_495,Email,Product_26
Rep_20,2025-03-29,Germany,Customer_393,Visit,Product_16
Rep_6,2024-10-22,France,Customer_112,Phone Call,Product_12
Rep_8,2024-12-24,Spain,Customer_499,Visit,Product_41
Rep_3,2024-08-27,France,Customer_372,Email,Product_30
Rep_4,2024-11-03,Germany,Customer_197,Phone Call,Product_47
Rep_2,2024-11-20,Italy,Customer_330,Email,Product_23
Rep_6,2025-01-24,Germany,Customer_285,Email,Product_5
Rep_14,2025-01-17,France,Customer_341,Email,Product_30
Rep_14,2025-02-08,Italy,Customer_493,Phone Call,Product_15
Rep_12,2025-05-04,Spain,Customer_453,Visit,Product_24
Rep_9,2025-03-17,Spain,Customer_135,Phone Call,Product_15
Rep_8,2024-09-28,Spain,Customer_269,Phone Call,Product_9
Rep_6,2024-06-13,Spain,Customer_285,Phone Call,Product_9
Rep_8,2024-09-15,Germany,Customer_211,Email,Product_28
Rep_18,2025-01-05,Spain,Customer_437,Visit,Product_46
Rep_15,2024-06-26,Italy,Customer_179,Visit,Product_10
Rep_17,2024-11-17,Germany,Customer_137,Visit,Product_14
Rep_4,2024-12-26,Germany,Customer_311,Phone Call,Product_10
Rep_2,2025-01-12,Italy,Customer_481,Visit,Product_20
Rep_20,2024-09-20,Germany,Customer_319,Phone Call,Product_37
Rep_11,2025-04-06,Italy,Customer_371,Visit,Product_41
Rep_3,2024-07-25,Spain,Customer_47,Visit,Product_39
Rep_17,2024-08-15,Italy,Customer_357,Visit,Product_21
Rep_14,2024-05-19,France,Customer_55,Email,Product_1
Rep_20,2025-02-21,Spain,Customer_258,Visit,Product_48
Rep_1,2024-08-26,Italy,Customer_275,Phone Call,Product_48
Rep_15,2024-06-27,Spain,Customer_113,Email,Product_13
Rep_1,2025-02-10,Spain,Customer_400,Email,Product_8
Rep_8,2024-08-06,Spain,Customer_152,Visit,Product_40
Rep_4,2024-10-04,Germany,Customer_143,Email,Product_5
Rep_12,2025-03-17,Germany,Customer_496,Email,Product_34
Rep_1,2024-07-18,France,Customer_407,Phone Call,Product_10
Rep_16,2024-09-19,Italy,Customer_280,Email,Product_42
Rep_5,2024-10-25,France,Customer_394,Phone Call,Product_4
Rep_8,2025-03-25,Spain,Customer_6,Email,Product_29
Rep_18,2024-06-06,Germany,Customer_96,Email,Product_9
Rep_10,2024-06-21,Germany,Customer_255,Email,Product_19
Rep_9,2025-03-13,France,Customer_58,Email,Product_33
Rep_14,2024-07-08,France,Customer_42,Phone Call,Product_5
Rep_9,2025-04-10,Italy,Customer_491,Email,Product_35
Rep_1,2025-02-07,France,Customer_407,Visit,Product_7
Rep_18,2024-08-05,France,Customer_362,Email,Product_10
Rep_1,2024-05-30,Spain,Customer_483,Visit,Product_29
Rep_4,2025-03-26,France,Customer_408,Visit,Product_24
Rep_16,2024-12-21,Spain,Customer_104,Phone Call,Product_10
Rep_6,2025-01-14,France,Customer_245,Visit,Product_32
Rep_1,2025-05-01,Germany,Customer_400,Visit,Product_3
Rep_14,2025-05-11,Spain,Customer_156,Email,Product_25
Rep_8,2024-12-06,Germany,Customer_499,Phone Call,Product_14
Rep_7,2025-01-01,Germany,Customer_350,Visit,Product_11
Rep_11,2025-02-01,Italy,Customer_169,Email,Product_35
Rep_9,2024-06-10,Spain,Customer_153,Visit,Product_38
Rep_9,2024-05-23,France,Customer_263,Visit,Product_44
Rep_3,2024-06-30,Spain,Customer_372,Email,Product_34
Rep_16,2025-01-14,Spain,Customer_267,Email,Product_25
Rep_5,2024-07-25,Spain,Customer_394,Phone Call,Product_3
Rep_12,2025-01-03,Italy,Customer_244,Phone Call,Product_11
Rep_14,2025-03-31,Spain,Customer_161,Visit,Product_43
Rep_12,2024-12-22,France,Customer_74,Email,Product_44
Rep_1,2024-06-28,Italy,Customer_344,Email,Product_24
Rep_11,2024-10-11,Germany,Customer_383,Email,Product_47
Rep_12,2024-06-17,Germany,Customer_289,Phone Call,Product_23
Rep_20,2024-10-03,Germany,Customer_56,Visit,Product_48
Rep_11,2025-04-01,France,Customer_287,Visit,Product_47
Rep_6,2024-06-27,France,Customer_13,Phone Call,Product_37
Rep_17,2024-05-27,Spain,Customer_292,Visit,Product_47
Rep_3,2025-01-03,Germany,Customer_435,Visit,Product_44
Rep_8,2024-05-21,Germany,Customer_410,Visit,Product_14
Rep_3,2024-07-27,France,Customer_372,Visit,Product_8
Rep_2,2024-07-23,Italy,Customer_208,Visit,Product_35
Rep_12,2025-02-15,Spain,Customer_352,Visit,Product_5
Rep_19,2024-06-30,Germany,Customer_314,Email,Product_26
Rep_8,2024-11-15,Italy,Customer_405,Email,Product_31
Rep_12,2024-08-02,France,Customer_242,Phone Call,Product_13
Rep_14,2025-02-19,Spain,Customer_374,Phone Call,Product_6
Rep_7,2025-03-19,Germany,Customer_70,Visit,Product_11
Rep_18,2024-06-05,France,Customer_304,Phone Call,Product_27
Rep_15,2025-05-11,Spain,Customer_142,Email,Product_10
Rep_7,2025-01-31,Italy,Customer_317,Visit,Product_9
Rep_5,2024-05-21,Spain,Customer_439,Email,Product_15
Rep_8,2024-12-10,Germany,Customer_338,Visit,Product_21
Rep_18,2024-10-25,Spain,Customer_362,Visit,Product_33
Rep_8,2025-01-09,Spain,Customer_483,Phone Call,Product_30
Rep_16,2024-06-21,Spain,Customer_378,Phone Call,Product_34
Rep_14,2025-04-02,Spain,Customer_102,Phone Call,Product_17
Rep_18,2024-08-21,France,Customer_230,Phone Call,Product_49
Rep_1,2024-06-09,Germany,Customer_480,Phone Call,Product_24
Rep_12,2024-08-06,France,Customer_438,Email,Product_24
Rep_12,2024-06-09,Spain,Customer_472,Email,Product_25
Rep_14,2025-01-19,France,Customer_493,Email,Product_47
Rep_2,2024-09-06,Germany,Customer_12,Phone Call,Product_16
Rep_4,2024-09-26,France,Customer_63,Phone Call,Product_26
Rep_15,2024-10-29,Spain,Customer_418,Visit,Product_11
Rep_4,2024-07-22,France,Customer_278,Visit,Product_34
Rep_19,2024-06-05,Germany,Customer_237,Email,Product_38
Rep_4,2024-11-24,Italy,Customer_216,Visit,Product_44
Rep_7,2024-11-10,Spain,Customer_195,Email,Product_2
Rep_10,2024-05-28,Germany,Customer_235,Email,Product_32
Rep_7,2024-12-30,Spain,Customer_69,Visit,Product_46
Rep_17,2024-06-21,Italy,Customer_298,Phone Call,Product_4
Rep_18,2025-02-08,Italy,Customer_123,Phone Call,Product_25
Rep_4,2024-10-11,Spain,Customer_409,Phone Call,Product_10
Rep_15,2024-07-29,Spain,Customer_29,Email,Product_46
Rep_5,2024-08-22,France,Customer_203,Visit,Product_7
Rep_11,2024-09-29,Spain,Customer_169,Phone Call,Product_22
Rep_11,2025-04-29,Germany,Customer_370,Email,Product_25
Rep_16,2025-02-21,France,Customer_83,Email,Product_6
Rep_10,2024-11-11,Italy,Customer_335,Visit,Product_40
Rep_10,2025-04-03,France,Customer_384,Email,Product_18
Rep_1,2025-04-28,France,Customer_319,Phone Call,Product_20
Rep_5,2025-05-04,Italy,Customer_103,Phone Call,Product_6
Rep_8,2024-12-20,Italy,Customer_410,Email,Product_21
Rep_15,2024-07-17,Germany,Customer_11,Visit,Product_22
Rep_12,2025-02-07,Germany,Customer_206,Email,Product_26
Rep_17,2025-01-29,France,Customer_246,Visit,Product_1
Rep_9,2024-07-30,France,Customer_223,Visit,Product_29
Rep_8,2025-03-07,Italy,Customer_10,Visit,Product_16
Rep_19,2024-06-04,Italy,Customer_310,Visit,Product_40
Rep_10,2025-03-15,Italy,Customer_81,Visit,Product_25
Rep_15,2025-01-30,Spain,Customer_251,Visit,Product_45
Rep_15,2024-07-13,Germany,Customer_438,Email,Product_23
Rep_2,2025-04-06,Spain,Customer_481,Visit,Product_11
Rep_18,2024-07-14,Italy,Customer_96,Phone Call,Product_42
Rep_9,2024-09-22,Germany,Customer_263,Visit,Product_48
Rep_12,2024-12-04,Spain,Customer_218,Visit,Product_29
Rep_7,2024-08-18,Italy,Customer_240,Phone Call,Product_37
Rep_8,2024-06-27,Italy,Customer_177,Phone Call,Product_5
Rep_15,2024-12-30,Spain,Customer_179,Visit,Product_8
Rep_4,2025-05-05,Spain,Customer_181,Email,Product_24
Rep_15,2024-10-31,France,Customer_102,Phone Call,Product_42
Rep_6,2025-01-26,Germany,Customer_353,Email,Product_4
Rep_17,2024-07-19,Spain,Customer_246,Email,Product_38
Rep_8,2024-05-18,Germany,Customer_463,Visit,Product_34
Rep_1,2024-11-12,France,Customer_407,Phone Call,Product_8
Rep_6,2025-02-01,Spain,Customer_285,Visit,Product_13
Rep_17,2024-10-19,Spain,Customer_482,Visit,Product_15
Rep_7,2025-04-27,France,Customer_295,Visit,Product_4
Rep_7,2024-12-20,Italy,Customer_295,Phone Call,Product_28
Rep_16,2025-04-17,Spain,Customer_444,Phone Call,Product_42
Rep_18,2024-11-26,Germany,Customer_207,Visit,Product_36
Rep_1,2025-05-04,Spain,Customer_461,Phone Call,Product_6
Rep_17,2024-09-10,Germany,Customer_422,Phone Call,Product_20
Rep_19,2025-01-20,Germany,Customer_314,Phone Call,Product_14
Rep_19,2024-09-28,France,Customer_310,Email,Product_46
Rep_11,2024-10-10,Italy,Customer_454,Email,Product_2
Rep_9,2025-04-03,Spain,Customer_263,Phone Call,Product_12
Rep_1,2025-01-23,France,Customer_251,Phone Call,Product_35
Rep_20,2024-08-18,Germany,Customer_393,Visit,Product_27
Rep_20,2024-07-11,Italy,Customer_319,Visit,Product_18
Rep_17,2024-12-16,Spain,Customer_80,Visit,Product_35
Rep_16,2025-02-05,Germany,Customer_41,Email,Product_25
Rep_15,2024-05-17,Italy,Customer_100,Visit,Product_46
Rep_2,2024-11-06,Italy,Customer_321,Email,Product_48
Rep_8,2025-02-24,Spain,Customer_67,Phone Call,Product_31
Rep_3,2024-06-12,Spain,Customer_260,Visit,Product_34
Rep_10,2024-09-20,France,Customer_233,Visit,Product_23
Rep_20,2025-02-24,Germany,Customer_453,Phone Call,Product_47
Rep_9,2024-05-30,Germany,Customer_419,Email,Product_35
Rep_12,2024-12-10,Germany,Customer_48,Email,Product_35
Rep_14,2024-08-30,Italy,Customer_374,Visit,Product_6
Rep_9,2024-07-04,Germany,Customer_306,Phone Call,Product_49
Rep_3,2024-08-14,Spain,Customer_44,Phone Call,Product_27
Rep_9,2025-03-04,Italy,Customer_306,Email,Product_4
Rep_5,2024-11-16,Spain,Customer_395,Email,Product_32
Rep_18,2024-09-26,France,Customer_36,Phone Call,Product_46
Rep_4,2025-01-04,Germany,Customer_359,Visit,Product_31
Rep_11,2024-09-01,Germany,Customer_242,Phone Call,Product_49
Rep_6,2025-01-29,Spain,Customer_199,Email,Product_22
Rep_14,2024-09-29,Spain,Customer_194,Visit,Product_8
Rep_9,2024-12-28,Germany,Customer_26,Phone Call,Product_13
Rep_12,2025-04-24,Spain,Customer_346,Phone Call,Product_35
Rep_6,2025-01-14,Italy,Customer_424,Phone Call,Product_49
Rep_6,2025-04-09,Germany,Customer_56,Email,Product_26
Rep_13,2025-01-09,Italy,Customer_240,Visit,Product_41
Rep_14,2024-07-03,Germany,Customer_50,Email,Product_29
Rep_13,2025-02-14,France,Customer_451,Phone Call,Product_45
Rep_17,2024-09-10,Germany,Customer_80,Email,Product_19
Rep_4,2024-10-10,Germany,Customer_278,Phone Call,Product_10
Rep_20,2025-02-27,France,Customer_274,Email,Product_21
Rep_9,2024-10-20,Italy,Customer_26,Visit,Product_7
Rep_18,2025-03-30,Spain,Customer_290,Phone Call,Product_50
Rep_5,2025-01-20,France,Customer_103,Email,Product_42
Rep_9,2024-06-13,France,Customer_366,Email,Product_14
Rep_11,2024-05-13,Germany,Customer_399,Phone Call,Product_19
Rep_20,2024-12-29,Spain,Customer_35,Email,Product_50
Rep_4,2024-07-26,Spain,Customer_132,Visit,Product_27
Rep_3,2025-02-08,Spain,Customer_435,Email,Product_42
Rep_6,2024-09-19,Italy,Customer_334,Visit,Product_36
Rep_6,2024-07-14,Germany,Customer_317,Visit,Product_11
Rep_4,2024-08-13,Spain,Customer_90,Visit,Product_47
Rep_3,2024-08-07,Italy,Customer_129,Visit,Product_25
Rep_3,2025-01-15,Italy,Customer_486,Phone Call,Product_38
Rep_4,2024-11-03,Italy,Customer_49,Phone Call,Product_40
Rep_7,2024-10-07,Italy,Customer_69,Email,Product_37
Rep_1,2025-02-12,Germany,Customer_432,Visit,Product_47
Rep_4,2025-04-17,Italy,Customer_14,Visit,Product_41
Rep_8,2025-01-29,France,Customer_138,Phone Call,Product_25
Rep_12,2024-12-19,Germany,Customer_74,Visit,Product_37
Rep_3,2025-04-17,France,Customer_47,Visit,Product_8
Rep_9,2024-10-20,Italy,Customer_484,Phone Call,Product_38
Rep_12,2024-05-25,Spain,Customer_395,Email,Product_12
Rep_16,2024-10-16,Italy,Customer_83,Phone Call,Product_50
Rep_11,2025-04-16,France,Customer_371,Visit,Product_7
Rep_16,2025-02-09,Italy,Customer_387,Visit,Product_8
Rep_14,2024-12-19,Italy,Customer_452,Visit,Product_40
Rep_11,2024-10-22,Germany,Customer_399,Email,Product_41
Rep_7,2025-03-08,Germany,Customer_195,Email,Product_43
Rep_20,2025-01-25,France,Customer_462,Phone Call,Product_39
Rep_4,2025-02-12,Italy,Customer_326,Email,Product_1
Rep_20,2024-05-31,Spain,Customer_274,Phone Call,Product_39
Rep_17,2024-07-16,Spain,Customer_80,Email,Product_25
Rep_7,2024-11-01,Germany,Customer_195,Phone Call,Product_13
Rep_17,2024-06-06,France,Customer_92,Email,Product_20
Rep_16,2024-08-21,France,Customer_491,Email,Product_49
Rep_15,2025-02-09,France,Customer_380,Email,Product_10
Rep_5,2024-07-13,Spain,Customer_141,Visit,Product_49
Rep_7,2024-11-02,Italy,Customer_261,Email,Product_40
Rep_2,2024-12-03,Germany,Customer_59,Visit,Product_22
Rep_2,2025-04-21,Spain,Customer_173,Email,Product_46
Rep_18,2024-11-18,Italy,Customer_57,Visit,Product_43
Rep_1,2025-04-30,Spain,Customer_432,Phone Call,Product_43
Rep_5,2024-12-17,Spain,Customer_293,Phone Call,Product_43
Rep_1,2025-01-02,France,Customer_95,Visit,Product_11
Rep_17,2025-03-02,Spain,Customer_249,Email,Product_34
Rep_17,2024-05-13,Italy,Customer_298,Visit,Product_46
Rep_13,2025-04-21,Italy,Customer_451,Phone Call,Product_31
Rep_8,2024-05-28,France,Customer_254,Email,Product_18
Rep_7,2024-11-21,France,Customer_288,Visit,Product_33
Rep_7,2024-09-16,Italy,Customer_446,Visit,Product_29
Rep_1,2024-09-11,Italy,Customer_220,Visit,Product_4
Rep_4,2025-04-03,Italy,Customer_209,Visit,Product_20
Rep_13,2024-11-10,France,Customer_68,Phone Call,Product_10
Rep_16,2024-06-01,France,Customer_107,Email,Product_38
Rep_19,2025-03-23,France,Customer_304,Phone Call,Product_34
Rep_14,2025-03-28,France,Customer_341,Email,Product_8
Rep_1,2025-04-17,Spain,Customer_461,Phone Call,Product_2
Rep_15,2025-03-24,France,Customer_477,Email,Product_17
Rep_3,2024-10-21,Germany,Customer_157,Visit,Product_5
Rep_6,2024-07-25,France,Customer_39,Email,Product_11
Rep_9,2024-12-12,Italy,Customer_256,Phone Call,Product_44
Rep_4,2025-01-13,France,Customer_477,Email,Product_11
Rep_14,2024-06-14,France,Customer_134,Visit,Product_15
Rep_12,2025-04-03,France,Customer_323,Email,Product_11
Rep_18,2025-02-18,Spain,Customer_301,Phone Call,Product_5
Rep_3,2024-07-02,France,Customer_324,Phone Call,Product_17
Rep_17,2024-05-18,Italy,Customer_336,Email,Product_4
Rep_7,2024-10-16,France,Customer_124,Email,Product_50
Rep_9,2025-01-31,France,Customer_461,Visit,Product_49
Rep_10,2024-10-22,Spain,Customer_479,Email,Product_10
Rep_20,2024-09-12,Italy,Customer_463,Email,Product_23
Rep_19,2024-05-14,Spain,Customer_427,Phone Call,Product_7
Rep_2,2024-08-03,Germany,Customer_171,Phone Call,Product_23
Rep_2,2024-05-18,Spain,Customer_415,Email,Product_11
Rep_12,2025-02-15,Spain,Customer_114,Visit,Product_2
Rep_20,2025-03-02,Spain,Customer_360,Visit,Product_29
Rep_6,2024-05-13,Germany,Customer_456,Phone Call,Product_15
Rep_19,2025-03-28,Spain,Customer_234,Email,Product_44
Rep_6,2025-01-30,France,Customer_9,Phone Call,Product_27
Rep_7,2024-12-04,France,Customer_6,Email,Product_26
Rep_17,2025-01-05,France,Customer_92,Phone Call,Product_35
Rep_16,2024-06-19,Germany,Customer_238,Email,Product_43
Rep_11,2024-07-25,France,Customer_77,Email,Product_13
Rep_20,2024-06-28,Italy,Customer_31,Visit,Product_7
Rep_11,2025-01-04,Germany,Customer_14,Visit,Product_50
Rep_12,2025-01-20,Spain,Customer_296,Email,Product_29
Rep_7,2024-07-29,Spain,Customer_78,Phone Call,Product_11
Rep_14,2025-04-17,Spain,Customer_356,Phone Call,Product_41
Rep_14,2024-09-07,Germany,Customer_243,Phone Call,Product_33
Rep_14,2024-08-29,France,Customer_176,Phone Call,Product_47
